,time,distance,heuristic,cityDep_id,cityArr_id
99,5961,132731,112468.30406851525,1000,34
100,26568,796142,649453.4201780054,10000,34
101,12946,384367,314425.1477028291,100000,34
102,27979,854414,688440.7870749102,1000,35
103,7556,213500,155484.77044029455,10000,35
104,25310,794400,613857.9130475305,100000,35
105,1585,9752,7874.304798212201,1000,36
106,22463,672398,585364.6033206655,10000,36
107,12780,377924,335379.81396481895,100000,36
108,13709,346917,282987.73271593073,1000,37
109,30617,878713,673631.2888934403,10000,37
110,24578,752148,600379.9824269075,100000,37
111,8813,234963,213404.0807662018,1000,38
112,30661,905589,800500.5761110476,10000,38
113,20978,611115,518681.85491519887,100000,38
114,2452,19821,12776.571109016708,1000,39
115,23806,692670,598273.2343091005,10000,39
116,14123,398196,342245.3066743913,100000,39
117,8958,236957,214863.05643255622,1000,40
118,30806,907583,802124.9096339375,10000,40
119,21123,613109,519224.1548850703,100000,40
120,4647,102000,72886.4782773318,1000,41
121,23575,672206,574685.023792065,10000,41
122,12207,341245,277532.0258151602,100000,41
123,31403,926581,680807.5219092766,1000,42
124,19346,557020,456916.4732043233,10000,42
125,37100,1137920,781507.2859360538,100000,42
126,2566,40647,17185.13043048498,1000,43
127,22480,671710,580789.172039004,10000,43
128,12797,377236,326141.1698396999,100000,43
129,23629,691045,577969.255645485,1000,44
130,12004,333020,273759.1433628952,10000,44
131,29758,913920,615094.0189242184,100000,44
132,11996,337856,294733.94062880176,1000,45
133,16188,488712,342895.5991620395,10000,45
134,7584,218185,160029.76746298102,100000,45
135,2000,15465,12097.422521522798,1000,46
136,23174,686000,592351.3909176356,10000,46
137,13491,391526,336164.14680521074,100000,46
138,26203,793885,653085.5573012471,1000,47
139,7271,194374,150213.86671253934,10000,47
140,18179,556669,446018.44496813975,100000,47
141,16358,470624,398636.1146724143,1000,48
142,14338,422790,350980.79370627133,10000,48
143,6067,135299,121101.70457596703,100000,48
144,10456,295220,235976.27753329638,1000,49
145,32304,965846,818226.1030507452,10000,49
146,20386,597862,483129.3260172464,100000,49
147,2109,12414,9994.714837999192,1000,50
148,23542,681820,594584.7527843275,10000,50
149,13859,387346,340247.3504052139,100000,50
150,9083,247769,197433.3857034834,1000,51
151,17483,509106,394410.8054386692,10000,51
152,12455,359287,299693.9915224379,100000,51
153,2092,13019,11485.107159505258,1000,52
154,23295,678033,590505.9257901062,10000,52
155,13612,383559,335173.12927410787,100000,52
156,30594,914556,691987.4354532136,1000,53
157,18537,544995,457242.55967323313,10000,53
158,36291,1125895,788673.3271130156,100000,53
159,11680,305183,244169.46206158574,1000,54
160,33528,975809,831731.9854942632,10000,54
161,22592,645370,513115.593687193,100000,54
162,17856,505608,386650.9473008034,1000,55
163,12443,323322,211593.92310349634,10000,55
164,20317,501479,365223.39585137373,100000,55
165,14922,437251,381096.0181134466,1000,56
166,21422,648942,498596.4354646063,10000,56
167,3187,61835,49331.371317113604,100000,56
168,30720,907695,691170.15381012,1000,57
