,time,distance,heuristic,cityDep_id,cityArr_id
155,2092,13019,11485.107159505258,100000,52
156,18537,544995,457242.55967323313,1000,53
157,30309,908029,620511.555727071,10000,53
158,30594,914556,691987.4354532136,100000,53
159,33578,974429,831731.9854942632,1000,54
160,15811,438729,346655.20372260147,10000,54
161,11680,305183,244169.46206158574,100000,54
162,12443,323322,211593.92310349634,1000,55
163,24943,717830,504969.0565313109,10000,55
164,17856,505608,386650.9473008034,100000,55
165,21422,648942,498596.4354646063,1000,56
166,25103,758495,653834.8734768605,10000,56
167,14922,437251,381096.0181134466,100000,56
168,18663,538134,449344.1457509917,1000,57
169,30435,901168,623359.261303779,10000,57
170,30720,907695,691170.15381012,100000,57
171,21193,558870,421150.4308096564,1000,58
172,31730,809122,550618.8327619137,10000,58
173,32015,815649,614755.9572993987,100000,58
174,27233,817408,651225.4849547654,1000,59
175,29746,885174,766685.0318894472,10000,59
176,19565,563930,485839.2045746716,100000,59
177,14956,439377,312635.7660420023,1000,60
178,19205,560401,475961.9741405724,10000,60
179,19490,566928,477758.6809652782,100000,60
180,30575,901005,798368.4194452252,1000,61
181,13042,369347,278607.237877467,10000,61
182,8677,231759,211132.97731761518,100000,61
183,12986,355512,262762.11828660936,1000,62
184,26542,800350,605706.272739608,10000,62
185,16800,460252,396546.8785515131,100000,62
186,24063,692297,598219.1880773121,1000,63
187,11846,333146,272761.02204046195,10000,63
188,2165,23051,11176.423236871064,100000,63
189,25140,761407,561104.3010398016,1000,64
190,8611,250872,178775.68781343263,10000,64
191,7131,183148,141796.15508524107,100000,64
192,25145,755979,593871.9873167379,1000,65
193,27658,823745,720600.2333760998,10000,65
194,17477,502501,440851.9439887525,100000,65
195,28658,839459,709210.7434041107,1000,66
196,9781,287683,224440.49552442023,10000,66
197,6760,170213,129590.83731040164,100000,66
198,16319,466837,363640.3856145916,1000,67
199,28091,829871,670489.517103775,10000,67
200,28376,836398,696438.390446439,100000,67
201,22075,662086,576573.3368871755,1000,68
202,11935,339900,286407.74297137134,10000,68
203,1845,21876,12453.990034329854,100000,68
204,22999,679187,591032.1069071208,1000,69
205,12222,345784,286701.6430876366,10000,69
206,1416,7222,6887.215698301806,100000,69
207,14198,422609,337335.097976612,1000,70
208,24170,750257,586947.5515173909,10000,70
209,14428,410159,353098.0763317728,100000,70
210,30444,902552,729888.2661036411,1000,71
211,7892,205563,127860.96223980543,10000,71
212,8712,233773,199302.01792309628,100000,71
213,19853,595146,417492.1041087177,1000,72
214,18778,565783,395945.38234914554,10000,72
215,19063,572310,455396.0180682422,100000,72
216,26498,766161,650704.1146732757,1000,73
217,13888,416993,299264.62967157597,10000,73
218,4874,85322,67104.53199450043,100000,73
219,8426,241265,211557.02473654947,1000,74
220,29670,934479,704894.8142513485,10000,74
221,19928,594381,504905.5807695167,100000,74
222,17441,531398,357358.11241637747,1000,75
223,15797,468703,394729.08274190145,10000,75
